,date,fremont_bridge_nb,fremont_bridge_sb,hour,count
495,2015-07-16,11,8,0,19
496,2015-07-02,5,4,1,9
497,2015-07-09,173,306,18,479
498,2015-07-02,2,3,3,5
499,2015-07-01,7,7,0,14
500,2015-07-01,75,85,15,160
501,2015-07-03,77,56,15,133
502,2015-07-17,322,148,8,470
503,2015-07-13,32,11,5,43
504,2015-07-08,71,51,12,122
505,2015-07-26,2,1,4,3
506,2015-07-16,59,85,15,144
508,2015-07-12,33,36,20,69
510,2015-07-11,84,66,13,150
511,2015-07-27,143,327,18,470
512,2015-07-20,40,37,11,77
513,2015-07-24,1,2,2,3
514,2015-07-08,9,11,0,20
515,2015-07-31,315,189,8,504
516,2015-07-30,72,58,10,130
517,2015-07-15,63,66,10,129
519,2015-07-26,28,26,17,54
520,2015-07-10,50,45,12,95
521,2015-07-11,77,41,9,118
522,2015-07-23,143,194,16,337
523,2015-07-07,9,10,0,19
524,2015-07-26,4,5,5,9
528,2015-07-05,12,10,6,22
529,2015-07-05,52,55,19,107
530,2015-07-07,64,64,12,128
531,2015-07-29,63,52,11,115
532,2015-07-14,390,146,7,536
533,2015-07-07,33,24,5,57
535,2015-07-05,8,8,23,16
536,2015-07-26,11,6,21,17
537,2015-07-17,17,27,23,44
538,2015-07-23,99,149,19,248
539,2015-07-20,4,3,2,7
540,2015-07-11,7,6,2,13
541,2015-07-17,145,231,16,376
542,2015-07-13,56,43,14,99
543,2015-07-22,62,95,14,157
544,2015-07-11,22,34,6,56
545,2015-07-23,27,20,22,47
546,2015-07-11,90,70,12,160
547,2015-07-03,89,68,9,157
548,2015-07-26,5,5,2,10
550,2015-07-14,146,63,6,209
551,2015-07-10,6,5,0,11
552,2015-07-16,147,299,18,446
553,2015-07-07,92,60,10,152
554,2015-07-07,55,55,11,110
555,2015-07-08,32,18,5,50
556,2015-07-08,73,46,13,119
558,2015-07-25,35,35,11,70
559,2015-07-27,93,126,19,219
560,2015-07-23,290,139,7,429
561,2015-07-21,71,90,15,161
562,2015-07-28,219,517,17,736
563,2015-07-08,64,49,14,113
564,2015-07-29,48,54,12,102
565,2015-07-10,43,40,20,83
566,2015-07-27,155,109,9,264
567,2015-07-19,52,52,17,104
